Tiempo,Temperatura,Humedad,Masa
0.12,18,59,-0.07
0.23,18,59,0.02
0.33,18,59,-0.22
0.43,18,59,-0.01
0.53,18,59,-0.04
0.63,18,59,-0.07
0.74,18,59,-0.07
0.84,18,59,-0.13
0.94,18,59,-0.38
1.04,18,59,-0.1
1.15,18,59,0.18
1.25,18,59,0.07
1.35,18,59,-0.08
1.45,18,59,-0.22
1.56,18,59,-0.26
1.66,18,59,-0.33
1.76,18,59,-0.22
1.86,18,59,-0.06
1.97,18,59,-0.07
2.07,18,59,-0.03
2.19,18,61,0.03
2.29,18,61,-0.06
2.4,18,61,0.06
2.5,18,61,-0.09
2.6,18,61,-0.22
2.7,18,61,-0.1
2.81,18,61,-0.09
2.91,18,61,-0.16
3.01,18,61,0.34
3.11,18,61,0.21
3.22,18,61,0.19
3.32,18,61,-0.09
3.42,18,61,-0.02
3.52,18,61,0.15
3.62,18,61,-0.06
3.73,18,61,0.02
3.83,18,61,-0.27
3.93,18,61,-0.22
4.03,18,61,-0.06
4.14,18,61,0.03
4.26,18,61,-0.14
4.36,18,61,-0.14
4.47,18,61,-0.23
4.57,18,61,-0.13
4.67,18,61,-0.08
4.77,18,61,-0.15
4.88,18,61,-0.09
4.98,18,61,-0.03
5.08,18,61,-0.25
5.18,18,61,-0.04
5.28,18,61,-0.21
5.39,18,61,0.1
5.49,18,61,0.07
5.59,18,61,-0.01
5.69,18,61,0
5.8,18,61,-0.13
5.9,18,61,0.04
6,18,61,0.16
6.1,18,61,0.02
6.21,18,61,0.2
6.33,18,60,0.07
6.43,18,60,-0.04
6.53,18,60,0.12
6.64,18,60,0.15
6.74,18,60,0.12
6.84,18,60,-0.03
6.94,18,60,-0.12
7.05,18,60,-0.18
7.15,18,60,-0.19
7.25,18,60,-0.16
7.35,18,60,-0.17
7.45,18,60,-0.42
7.56,18,60,-0.28
7.66,18,60,0.04
7.76,18,60,-0.05
7.86,18,60,0.08
7.97,18,60,-0.02
8.07,18,60,-0.06
8.17,18,60,-0.17
8.27,18,60,0.03
8.4,18,60,0.11
8.5,18,60,-0.11
8.6,18,60,-0.15
8.71,18,60,-0.22
8.81,18,60,-0.2
8.91,18,60,-0.1
9.01,18,60,-0.07
9.11,18,60,0.29
9.22,18,60,0.26
9.32,18,60,0.31
9.42,18,60,0.44
9.52,18,60,0.34
9.63,18,60,0.23
9.73,18,60,0.27
9.83,18,60,0.26
9.93,18,60,0.05
10.04,18,60,0.15
10.14,18,60,-0.06
10.24,18,60,0.02
10.34,18,60,0.04
10.47,18,60,-0.01
10.57,18,60,0.06
10.67,18,60,-0.06
10.77,18,60,-0.09
10.88,18,60,-0.01
10.98,18,60,0.08
11.08,18,60,0.01
11.19,18,60,-0.26
11.29,18,60,-0.16
11.39,18,60,-0.02
11.49,18,60,-0.07
11.59,18,60,0.05
11.7,18,60,0.22
11.8,18,60,0.27
11.9,18,60,-0.06
12,18,60,-0.05
12.11,18,60,-0.27
12.21,18,60,-0.28
12.31,18,60,-0.42
12.41,18,60,-0.25
12.54,18,60,-0.15
12.64,18,60,-0.2
12.74,18,60,-0.1
12.85,18,60,-0.15
12.95,18,60,-0.16
13.05,18,60,0
13.15,18,60,0.11
13.26,18,60,0.15
13.36,18,60,0.07
13.46,18,60,0.08
13.56,18,60,0.15
13.67,18,60,-0.05
13.77,18,60,-0.26
13.87,18,60,-0.18
13.97,18,60,0.15
14.07,18,60,-0.03
14.18,18,60,-0.03
14.28,18,60,0.1
14.38,18,60,-0.03
14.48,18,60,-0.3
14.61,18,60,-0.2
14.71,18,60,0.2
14.81,18,60,0.21
14.92,18,60,-0.03
15.02,18,60,-0.16
15.12,18,60,-0.48
15.22,18,60,-0.08
15.33,18,60,-0.13
15.43,18,60,-0.52
15.53,18,60,-0.46
15.63,18,60,-0.03
15.73,18,60,-0.28
15.84,18,60,-0.29
15.94,18,60,-0.11
16.04,18,60,-0.05
16.14,18,60,-0.07
16.25,18,60,0.06
16.35,18,60,0.24
16.45,18,60,0.33
16.55,18,60,-0.07
16.68,18,60,0.02
16.78,18,60,-0.1
16.88,18,60,-0.07
16.98,18,60,-0.23
17.09,18,60,-0.03
17.19,18,60,0.32
17.29,18,60,-0.15
17.39,18,60,-0.24
17.5,18,60,-0.17
17.6,18,60,0
17.7,18,60,0.15
17.8,18,60,0
17.91,18,60,-0.05
18.01,18,60,-0.04
18.11,18,60,-0.29
18.21,18,60,-0.16
18.32,18,60,0.07
18.42,18,60,-0.11
18.52,18,60,-0.17
18.62,18,60,0.05
18.75,18,60,0.23
18.85,18,60,-0.16
18.95,18,60,-0.31
19.05,18,60,0.08
19.16,18,60,-0.28
19.26,18,60,-0.63
19.36,18,60,-0.29
19.46,18,60,-0.14
19.57,18,60,-0.05
19.67,18,60,-0.13
19.77,18,60,0.05
19.87,18,60,0.01
19.98,18,60,0.03
20.08,18,60,-0.07
20.18,18,60,0.08
20.28,18,60,-0.16
20.38,18,60,-0.3
20.49,18,60,-0.44
20.59,18,60,-0.26
20.69,18,60,-0.24
20.82,18,60,-0.22
20.92,18,60,-0.3
21.02,18,60,-0.24
21.12,18,60,-0.31
21.23,18,60,-0.22
21.33,18,60,-0.3
21.43,18,60,-0.22
21.53,18,60,-0.28
21.63,18,60,-0.29
21.74,18,60,-0.37
21.84,18,60,-0.17
21.94,18,60,-0.22
22.04,18,60,-0.19
22.15,18,60,-0.06
22.25,18,60,-0.41
22.35,18,60,-0.3
22.45,18,60,0.16
22.56,18,60,-0.12
22.66,18,60,-0.08
22.76,18,60,0.03
22.89,18,60,-0.07
22.99,18,60,-0.18
23.09,18,60,-0.19
23.19,18,60,-0.14
23.29,18,60,-0.16
23.4,18,60,-0.01
23.5,18,60,-0.19
23.6,18,60,0
23.7,18,60,-0.22
23.81,18,60,-0.55
23.91,18,60,-0.34
24.01,18,60,0.23
24.11,18,60,0.03
24.22,18,60,-0.43
24.32,18,60,0.06
24.42,18,60,0.07
24.52,18,60,-0.39
24.63,18,60,-0.32
24.73,18,60,-0.38
24.83,18,60,-0.16
24.96,18,60,-0.4
25.06,18,60,-0.35
25.16,18,60,-0.06
25.26,18,60,-0.26
25.37,18,60,-0.33
25.47,18,60,-0.19
25.57,18,60,-0.09
25.67,18,60,-0.3
25.78,18,60,-0.38
25.88,18,60,-0.43
25.98,18,60,-0.23
26.08,18,60,-0.02
26.18,18,60,-0.01
26.29,18,60,0.02
26.39,18,60,-0.1
26.49,18,60,-0.04
26.59,18,60,-0.11
26.7,18,60,0.08
26.8,18,60,-0.11
